"Reporting.Area","MMWR.YEAR","MMWR.WEEK","All.causes.by.age..years..All.Ages","All.causes.by.age..years..All.Ages.flag","All.causes.by.age..years..GE.65","All.causes.by.age..years..GE.65.flag","All.causes.by.age..years..45.ÛÒ64","All.causes.by.age..years..45.ÛÒ64.flag","All.causes.by.age..years..25.ÛÒ44","All.causes.by.age..years..25.ÛÒ44.flag","All.causes.by.age..years..1.ÛÒ24","All.causes.by.age..years..1.ÛÒ24.flag","All.causes.by.age..years..LT.1","All.causes.by.age..years..LT.1.flag","Total","Location.1"
"129","W.S. Central",2014,2,2055,"",1325,"",494,"",153,"",47,"",36,"",121,""
"130","Mountain",2014,2,1210,"",850,"",274,"",61,"",15,"",9,"",95,""
"131","Pacific",2014,2,2159,"",1545,"",460,"",91,"",35,"",28,"",205,""
"132","Totalå¦",2014,2,13005,"",8952,"",2977,"",656,"",225,"",187,"",970,""
"133","Kansas City KS",2014,2,40,"",26,"",12,"",2,"",NA,"",NA,"",2,"Kansas City KS
 (39.11352011100047 94.6268190079997)"
"134","Jacksonville FL",2014,2,166,"",104,"",45,"",10,"",3,"",4,"",13,"Jacksonville FL
 (30.331471355000474 81.65621662999968)"
"135","Tucson AZ",2014,2,180,"",137,"",36,"",6,"",NA,"",1,"",7,"Tucson AZ
 (32.22155124200049 110.96975897999971)"
"136","Boise ID",2014,2,74,"",58,"",12,"",3,"",1,"",NA,"",7,"Boise ID
 (43.6069823790005 116.1934057949997)"
"137","Glendale CA",2014,2,47,"",37,"",9,"",1,"",NA,"",NA,"",10,"Glendale CA
 (34.146333127000446 118.24863950799971)"
"138","Miami FL",2014,2,70,"",53,"",13,"",2,"",1,"",1,"",1,"Miami FL
 (25.77481304000048 80.19772778299966)"
"139","New Bedford MA",2014,2,23,"",18,"",5,"",NA,"",NA,"",NA,"",3,"New Bedford MA
 (41.637672961000476 70.93086932199964)"
"140","Schenectady NY",2014,2,29,"",23,"",4,"",2,"",NA,"",NA,"",3,"Schenectady NY
 (42.8122530060005 73.94101987199963)"
"141","Paterson NJ",2014,2,22,"",13,"",8,"",1,"",NA,"",NA,"",1,"Paterson NJ
 (40.916612760000476 74.17163854999967)"
"142","El Paso TX",2014,2,138,"",95,"",30,"",7,"",3,"",3,"",NA,"El Paso TX
 (31.759161618000462 106.4874888869997)"
"143","Chicago IL",2014,2,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Chicago IL
 (41.88425366500047 87.63244574499964)"
"144","St. Petersburg FL",2014,2,50,"",28,"",19,"",1,"",2,"",NA,"",2,"St. Petersburg FL
 (27.771191804000466 82.63875661699967)"
"145","Phoenix AZ",2014,2,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Phoenix AZ
 (33.448260210000456 112.0757657309997)"
"146","Memphis TN",2014,2,229,"",156,"",53,"",12,"",5,"",3,"",28,"Memphis TN
 (35.14976130600047 90.04924570399965)"
"147","Yonkers NY",2014,2,22,"",19,"",3,"",NA,"",NA,"",NA,"",1,"Yonkers NY
 (40.93299013900048 73.89873881399967)"
"148","Las Vegas NV",2014,2,346,"",219,"",108,"",12,"",4,"",3,"",38,"Las Vegas NV
 (36.17191159200047 115.13996564999968)"
"149","Houston TX",2014,2,556,"",338,"",129,"",68,"",11,"",10,"",16,"Houston TX
 (29.760451522000437 95.36977674999969)"
"150","Dayton OH",2014,2,179,"",123,"",40,"",13,"",2,"",1,"",15,"Dayton OH
 (39.75911127900048 84.19443785699968)"
"151","Dallas TX",2014,2,303,"",172,"",95,"",20,"",9,"",7,"",17,"Dallas TX
 (32.778154335000465 96.79539918599966)"
"152","San Diego CA",2014,2,188,"",140,"",37,"",6,"",3,"",2,"",14,"San Diego CA
 (32.71569073700044 117.16171662299968)"
"153","Salt Lake City UT",2014,2,178,"",133,"",29,"",11,"",2,"",3,"",15,"Salt Lake City UT
 (40.92177563200045 111.9868580479997)"
"154","Lansing MI",2014,2,92,"",62,"",25,"",4,"",NA,"",1,"",7,"Lansing MI
 (42.731942666000464 84.55224806999968)"
"155","Montgomery AL",2014,2,82,"",58,"",20,"",3,"",1,"",NA,"",4,"Montgomery AL
 (32.38012195900046 86.30062589499965)"
"156","Columbus OH",2014,2,295,"",193,"",76,"",15,"",2,"",9,"",18,"Columbus OH
 (39.96199068800047 83.00274798399965)"
"157","Rockford IL",2014,2,72,"",55,"",14,"",2,"",NA,"",1,"",7,"Rockford IL
 (42.2669001480005 89.07834897499964)"
"158","Pueblo CO",2014,2,41,"",23,"",10,"",5,"",2,"",NA,"",4,"Pueblo CO
 (38.26386153800047 104.61236614299969)"
"159","Wichita KS",2014,2,96,"",64,"",19,"",8,"",3,"",2,"",4,"Wichita KS
 (37.68698211500049 97.33557577399966)"
"160","Philadelphia PA",2014,2,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Philadelphia PA
 (39.95228127500047 75.16244984999963)"
"161","Detroit MI",2014,2,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Detroit MI
 (42.331681680000486 83.04799903299966)"
"162","Evansville IN",2014,2,59,"",36,"",19,"",3,"",NA,"",1,"",4,"Evansville IN
 (37.97708100100044 87.56404663099966)"
"163","South Bend IN",2014,2,65,"",53,"",10,"",1,"",1,"",NA,"",7,"South Bend IN
 (41.679051856000456 86.25403946499966)"
"164","Tampa FL",2014,2,113,"",77,"",27,"",4,"",3,"",2,"",8,"Tampa FL
 (27.946532922000472 82.45926644299965)"
"165","Trenton NJ",2014,2,15,"",10,"",3,"",2,"",NA,"",NA,"",NA,"Trenton NJ
 (40.217883319000464 74.75939751899966)"
"166","Mobile AL",2014,2,121,"",81,"",29,"",8,"",2,"",1,"",13,"Mobile AL
 (30.686391968000464 88.05323763099966)"
"167","St. Paul MN",2014,2,83,"",65,"",13,"",2,"",1,"",2,"",2,"St. Paul MN
 (44.9438177180005 93.09331667699968)"
"168","Albuquerque NM",2014,2,143,"",100,"",32,"",9,"",2,"",NA,"",13,"Albuquerque NM
 (35.08418033400045 106.64863657599966)"
"169","Scranton PA",2014,2,45,"",37,"",7,"",NA,"",NA,"",1,"",3,"Scranton PA
 (41.41015379200047 75.66077859599966)"
"170","St. Louis MO",2014,2,56,"",37,"",17,"",1,"",NA,"",1,"",1,"St. Louis MO
 (38.62775018400049 90.19955850799965)"
"171","Syracuse NY",2014,2,61,"",56,"",5,"",NA,"",NA,"",NA,"",6,"Syracuse NY
 (43.0499907300005 76.14738815999965)"
"172","Gary IN",2014,2,14,"",6,"",6,"",1,"",1,"",NA,"",NA,"Gary IN
 (41.603712343000495 87.33716612199964)"
"173","Nashville TN",2014,2,192,"",105,"",71,"",6,"",4,"",6,"",17,"Nashville TN
 (36.16784292800048 86.77815577199965)"
"174","Newark NJ",2014,2,47,"",33,"",10,"",3,"",1,"",NA,"",2,"Newark NJ
 (40.73197311400048 74.17420658799966)"
"175","Lincoln NC",2014,2,50,"",37,"",10,"",2,"",NA,"",1,"",5,"Lincoln NC
 (35.568614881000485 81.50048638499965)"
"176","Cincinnati OH",2014,2,83,"",46,"",27,"",6,"",2,"",2,"",3,"Cincinnati OH
 (39.10713351400045 84.50412975199964)"
"177","Atlanta GA",2014,2,159,"",85,"",46,"",17,"",9,"",2,"",10,"Atlanta GA
 (33.748314149000464 84.39110931499965)"
"178","Norfolk VA",2014,2,84,"",60,"",14,"",5,"",1,"",4,"",10,"Norfolk VA
 (36.84682304600045 76.28505728799968)"
"179","Des Moines IA",2014,2,65,"",48,"",10,"",4,"",2,"",1,"",5,"Des Moines IA
 (41.58976008400049 93.61564652299967)"
"180","Savannah GA",2014,2,71,"",51,"",15,"",4,"",1,"",NA,"",10,"Savannah GA
 (32.080912122000484 81.09118590699967)"
"181","New Haven CT",2014,2,47,"",30,"",11,"",3,"",2,"",1,"",1,"New Haven CT
 (41.307624346000466 72.92461752399964)"
"182","Austin TX",2014,2,138,"",100,"",29,"",5,"",3,"",1,"",13,"Austin TX
 (30.267600919000472 97.74297813599969)"
"183","Cleveland OH",2014,2,331,"",240,"",64,"",14,"",7,"",6,"",20,"Cleveland OH
 (41.50475135200048 81.69071765199965)"
